quote_no;productid;quantity;listprice;product_no;productname
QUO7534;4592;1;29360;PRO1650;BSD-INTELLECT-HD
QUO7534;4593;10;2760;PRO1651;BSD-IMPLEMENTATION FEES
QUO7535;4651;1;35000;PRO1654;BSD-INTELLECT-SST
QUO7536;4654;1;5754.34;PRO1656;HP lj M3027 mfp
QUO7537;3817;1;250000;PRO1622;BSD-ORACLE DEVELOPER
QUO7537;4668;1;260000;PRO1659;BSD-DBA
QUO7538;4699;1;490;PRO1661;External Hard Disk Drive 1tera
QUO7539;4720;2;14294;PRO1663;HP DL380G5 E5420
QUO7539;109;1;3500;PRO9;TI-System Installation
QUO7539;4593;1;20000;PRO1651;BSD-IMPLEMENTATION FEES
QUO7540;4726;1;840;PRO1664;1 terabyte External HDD
QUO7541;4729;2;460;PRO1665;IBM 1 GB PC3200 CL.3 ECC DDR
QUO7541;4730;2;350;PRO1666;1 GB KIT (2x512 MB RDIMM)
QUO7541;4731;1;240;PRO1667;512MB PC2-4200 CL4 Non-Parity (NP) DDR2 SDRAM UDIM
QUO7541;4732;1;350;PRO1668;512MB PC2700 CL2.5 Non-Parity
QUO7541;4733;1;1000;PRO1669;UPS 1150VA
QUO7542;4751;1;940;PRO1670;Buffalo External HDD 1tb
QUO7542;4754;1;3390;PRO1671;Maxtor External HDD 1 tb
QUO7543;4794;1;600;PRO1690;Shifting of server Rack
QUO7543;4789;8;300;PRO1685;100 pair DB with module
QUO7543;4790;30;35;PRO1686;5o pair cable
QUO7543;4792;28;60;PRO1688;Data and Voice outlet,restucturing,labelling,termi
QUO7543;4791;63;60;PRO1687;35 data& 28 Voice points,restucturing,labelling,te
QUO7543;4793;1;250;PRO1689;Direct line from etisalat
QUO7543;4788;1;600;PRO1684;Shifting of EPABX system
QUO7544;4797;4;3200;PRO1691;BSD-CONSULTATION
QUO7545;4801;100;1190;PRO1692;McAfee Zero Footprint Bio USB 8GB
QUO7545;4802;100;1800;PRO1693;McAfee Data Protection Encrypted USB 16GB
QUO7546;4651;1;15000;PRO1654;BSD-INTELLECT-SST
QUO7546;4593;1;3000;PRO1651;BSD-IMPLEMENTATION FEES
QUO7547;4829;1;250;PRO1696;Replacement Battery for SUA750I
QUO7547;4828;1;1200;PRO1695;APC Smart – UPS 750VA
QUO7548;4835;1;30;PRO1700;Computer Mouse
QUO7548;4832;1;920;PRO1697;Hp LaserJet Printer P2035
QUO7548;4833;1;190;PRO1698;Fax Modem 56K
QUO7548;4834;1;280;PRO1699;USB HDD – 250 GB
QUO7549;4837;1;3795;PRO1701;Modular Router w/2xFE, 2 WAN slots, 32 FL/128 DR
QUO7550;4852;1;1700;PRO1704;HP LaserJet P2055dn
QUO7550;4851;1;340;PRO1703;Fax Modem Parallel Port(US Robotics)
QUO7551;4866;5;5950;PRO1708;Cisco 2811 Integrated service Router
QUO7551;4867;2;1650;PRO1709;Cisco 2960-24-S Catalyst Switch
QUO7551;4868;2;3400;PRO1710;HP CAT5 0x1x8 KVM Server Console Switch
QUO7551;4869;2;6900;PRO1711;HP TFT7600
QUO7551;4874;2;34900;PRO1713;HP DL580G5 E7330 2X3M 2P 4G EU Svr
QUO7551;4875;2;1100;PRO1714;HP 4GB FBD PC2-5300 2x2GB Kit
QUO7551;4876;7;1550;PRO1715;HP 146GB 10k 2.5 SAS HP SP HDD
QUO7551;4877;7;13400;PRO1716;HP DL360R05 E5420 2G EU Svr
QUO7551;4878;7;890;PRO1717;HP 2GB FBD PC2-5300 2x1GB Kit
QUO7551;4872;7;2700;PRO1712;Win Svr Std 2003 R2a Win32 Eng 1pk DSP 1-4CPU 5 Cl
QUO7551;2456;2;10200;PRO1493;Win Svr Ent 2003 R2a
QUO7551;2021;2;3900;PRO1381;Network Rack 42U 800*1000
QUO7551;2330;2;3200;PRO1449;APC UPS 1500VA USB & Serial 230V
QUO7551;4593;1;45000;PRO1651;BSD-IMPLEMENTATION FEES
QUO7551;3153;1;20000;PRO1536;TI-System Installation and Configuration
QUO7552;4881;150;504;PRO1718;WIN XP PROF SP3 ENGLISH
QUO7552;4882;150;813;PRO1719;Office SB 2007 W32 EN 1pk DSP OEI w/OfcProTri(MLK)
QUO7553;4883;50;1322;PRO1720;Office STD 2007 Sngl OLP NL
QUO7553;4884;1;95;PRO1721;Office STD 2007 Win32 English Disk Kit MVL CD
QUO7553;4885;50;690;PRO1722;Windows Vista Business
QUO7553;4886;1;95;PRO1723;Windows Vista Business w/SP1 32-bit English Disk K
QUO7553;4887;1;95;PRO1724;Windows XP Professional w/SP3 32-bit English Disk 
QUO7554;4890;1;1120.56;PRO1725;SX GBIC Cisco-Short Wave Length 1000 Base
QUO7554;4891;1;1217.16;PRO1726;Cisco GE SFP, LC Connector SX Transceiver
QUO7554;4881;3;504;PRO1718;WIN XP PROF SP3 ENGLISH
QUO7555;4895;1;340;PRO1728;Linksys ADSL Router
QUO7556;2250;3;23360;PRO1416;HP DL380R05 X5450 4G Perf EU Svr
QUO7556;2023;3;1450;PRO1383;HP HDD 146GB 10K SAS 2.5
QUO7556;2339;3;450;PRO1457;HP 2GB FBD PC2-5300 2x1GB Kit
QUO7556;2254;3;2710;PRO1420;Windows Server 2003 R2 Standard Edition
